label,text
__label__1,Great Book--unacceptable condition: I was looking forward to receiving this book as I was going to New Orleans to Antoine's restaurant. I read the book at least thirty years ago and wanted my own copy. This book came without a dust jacket and was so musty that I could not read it without my eyes watering. I sent it back at my own expense and to date I have not had a refund.
__label__2,Real HTML for people who build sites for a living: This book is simply great! If you build sites for a living you probably struggle with books that trivialize HTML and present its syntax willy-nilly. This book is the ONLY book I've ever seen that actually seems to be written by someone who builds sites professionally and wants to know all the markup. It explains logical and physical tagging styles well and does a really good job showing how to hook HTML with other technologies without trying to teach CGI CSS etc. at the same time. The only thing I wish is that this guy would write a JavaScript or DHTML book. I'd buy that right away.
__label__2,Marriage has its good and bad moments: This is a tear-jerker mixed with humor. A lot of rough patches for this couple but don't let that scare you off because there are also a lot of good times too. I watch this movie often as I am a hopeless romantic and I thoroughly enjoy the music and dancing (Hindi style & Pop Rock mix) plus it's worth wading through the tears to get to the fun parts. It ends the way a typical relationship of this type would but that's not exactly a bad thing in this case. I recommend it to everyone.
__label__2,Amazing...: love it...very touch.it's to bad that in the dvd description doesn't mention no subtitles
__label__1,More Romance Please and Less Mystery!!: the reason i gave two stars when I usually give 5 stars for ms. feehan's books is b/c this book was tooooooo mystery/gothic genre rather than romance. I really didn't feel like the two main characters were in love in fact the entire book was almost entirely from the heroine's point of view and I was getting sick of her whining and her point of view. unlike the "dark" series you really didnt feel any passion. the book is better suited for the mystery/gothic genre and NOT romance.even the mystery was not that good! its only in the last chapter that for some unforseen reason the villain confesses all in less than three pages. throughout the entire book you're kept in suspense of who was the bad guy if you wanted to know who it was look at the last couple of pages....Ms. Feehan if your reading please focuse more on the main characters relation to each other rather then distract us with so much unamusing mystery!
__label__1,Okay but Messy....: We purchased this bag for a vacation we were taking a cruise and we wanted to use it when we left the ship. The bag was convenient to carry however the faux leather began peeling. At first it wasn't so bad but then it became annoying because it then began flaking all over your skin and clothes. I would have rather the bag been a cloth bag with no flaking than the faux leather that I had to keep wisking away from my skin and clothes.
__label__2,Patricia Cornwell has turned me into a reader: I was never really a big reader before and somebody put me on to Patricia Cornwell. Well now I can't put her books down. Her books just get better and better as you go through the Kay Scarpetta series.I really enjoy the series concept and the fact that some of the same characters keep returning from book to book. It's nice to see the characters develop through each story line. It allows you to get comfortable with them get close to them and get frustrated with them when they do something out of character.I highly recommend reading not just this book but the entire Kay Scarpetta series.
__label__2,Best of the First Four in this series.: This is an awesome book. Kay just keeps getting better and better. It's also fun to see the characters develop more with each book - Kay herself as she seems to be always "one against the world" Marino who it appears is heading towards some sort of heart attack Lucy who seems to be getting more and more quixotic. In this book Kay finds herself smack in the middle of a series of gruesome killings. It appears that a recently executed murderer who Kay herself has seen on her autopsy table is still around committing crimes. A number of murders occur where the executed murderer's fingerprints are turning up. Kay Marino and Benton try to track a killer but it appears that the corruption goes up a long ways into the political stratosphere. This is a taut and totally believable thriller. I can't wait until the next one because the book ended with the way wide open to the next installment.
__label__2,Great Beginning...poor ending: Parricia Corwell Cruel & Unusual was breathtaking in the beginning! Her relation to her family her dedication to her work exeptional. However this story began to get boring towards the end...the ending not too great.
__label__1,12 Y/O Potty Humor From 40 somethings does not a comedy make....: Saw this movie and felt compelled to warn people not to waste 144 agonizing minutes of their lives. In a nutshell I have heard many more clever jokes and "one-liners" watching King of Queens on cable.....SERIOUSLY FOLKS it's THAT BAD....the bad jokes and the 23 references to small jewish penises got old real quick. Thought i would always be a Sandler fan but he clearly Adam was in need of some rent money and jumped on this script for the cash and RAN!Why else would the plot line include Seth Rogan writing for him??? To put things into perspective this film made Bruno look like Casablanca!!
__label__1,I wish Adam Sandler wasn't in this.: I should have known going into this movie having Judd Apatow a part of it would mean I would hate it. However having Adam Sandler in it and seeing the previews in the theater we gave it a (very hopeful) chance. The movie loses it's true premise of having depth in amongst the terrible & crude "jokes". I have to say we didn't make it more than 30 minutes into the movie before turning it off. It is a constant barrage of pathetic behavior. I just don't believe that there are this many people out here that are like this and can relate to this behavior. Very Disappointing.
__label__2,No another grill like this...: This grill is one of its kind...It can be use anywhere without so much hard work..it fits snugly anywhere....
__label__2,From Potter's Field by Patricia Cornwell.: This was a very good book with excellent descriptions. It's a real page turner and keeps you wondering what's going to happen next. The best parts are at the very beggining and the end.
__label__2,An Engrossing and Chilling Read: My first foray into the novels of Patricia Cornwell has left me impressed. The characters were intense and realistic. My only concern is that the "evil" Temple Gault at the end of the novel is as vague as he was in the beginning. Why did he decide to trail and give "gifts" to Dr. Scarpetta? Needless to say I will be reading more of Cornwell's books especially if they are at all like this novel.
__label__2,great book. i loved it! they mentioned a movie where is it?: the publisher said soon to be a movie. does anyone know if a movie was ever created?
__label__2,Simply Awesome!: This was only my first Cornwell novel and I'm hooked! In the past few months I have managed to collect all of her books and I can't wait to dive into them! This summer will be a suspensful one for Scarpetta and I.
__label__1,Predictable & has a lame ending: I have read all of the Scarpetta novels & this is not the worst (that would be Cause of Death) but rt. up there. I thought the story began well enough but the ending was lame. The plot was predictable. Lucy is nauseating as ever & wish she'd die. Scarpetta is still overly materialistic & self-righteous which has gotten old.One of many gripes would be that I find it very hard to believe that all the crime agencies & the media have zero knowledge of this serial killer's family background (close family members - like a twin sister).My advice - don't let this be your 1st Scarpetta novel.
__label__2,Black Knight C2C Heat Squash Racquet: Great racquet! But I'm a power hitter I have no power Generating Difficulty With This racquet. My style is to try to volleyball and everything I've found this racquet to well balanced and maneuvered. I like the factory grip although with distinct ridges Others prefer a smooth grip May - give the factory grip on chance and you May Come to like it. The "sale" prices are right for a high About end racquet racquets and Black Knight in Have a reputation for overall durability so you Should get plenty of use Before replacement. Note: I got my first C2C as a D level player and did not like it Immediately. Howeve as my game improved version I switched from my Bandit Black Knight C2C White racquet to the great success and Have HAD. So It Might not be the right racquet for a beginner intermediate to advanced players But Will Benefit From this fine racquet.
__label__1,A historical gem whose title obscures its intent: Started laughing in the second chapter....enjoyed the book after I realized that I wasn't going to learn anything new. It's obviously a miracle that we survived for the 65 years since it was first published.And seeing that the pending insolvency of the US was as loudly shouted in the 40's as it is now was worth the price. This book had quotes that would shame both modern day political extremes in the US.Kudos to whoever owns the copyright --- now there's economics in action.
__label__1,Vastly overrated work of fiction: I was sorely disappointed in this vapid and smarmy demogoguery. Sure back then there was no Google searching nor number crunching laptops. But plenty of economic data was available which the author managed to circumvent. Probably the book's greatest failing was to compare the field of economics to other sciences. Even with today's analytical resources economists are still all over the map on their predictions & conclusions. On the other hand meteorologists seem to do quite well.Naturally the radical libertarians tea-baggers & Republicans love this slim volume which is even slimmer on evidence. I would read it only if you want to know why the lunatic fringe is so nutty & irrational.
__label__2,sergeant frosts lonely hearts club band: edith has created a venue for herself to exorcise melancholic memories with painful melodies. there are no disguises on this collection. lonesome guitars and medicinal piano radiate the mood of broken spirits. she writes all her own songs. these ballads are definite reminders of those unbearable moments we all have to live. they are all gray sky secludedisolating tunes. i envision a ironical pace. i thought she was from chicago millions and millions of people and she sings stark loneliness
__label__2,Great Camera: I recently purchased this camera and I'm very satisfied with it. I find the quality of the pictures with this camera as good if not better than anything else without going to digital. It is very comfortable to hold and the controls are easy to use. I highly reccomend this product to anyone looking for a top quality camera at an affordable price. Nice going Sony!
__label__1,Had to return it: The sizing is perfect and a medium fits just right. I am 5'2 size 4 137 lbs before baby and i gained about 35 lbs during pregnancy just an idea for sizing but keepin mind that everyone has different fat distributions on their bodies. I don't like how my post baby fat was getting pushed up the top and makes me look like I have back boobs. The shape wear crunched up after you sit or bent over and so it doesn't feel smooth all over. Squeem makes a vest version too so maybe that one will be a better choice for better coverage. If you do decide to purchase this product it's easier to squeeze in if you lay on your bed and suck in your guts.
__label__1,Broke the 2nd time I wore it great until then: I think this product provided a great fit. I was able to hook on the first row by myself within about 5 mins max. It wasn't quite as difficult to get on as I thought it might be although it isn't particularly easy either. I tried it on and wore for about 2 hours and then the 2nd time I wore it had it on for about the same period of time. I took it off and one of the metal boning pieces had popped through and was hanging out at the bottom. This product is far too expensive to have something like that happen. The fit on me was snug but I am sure I had the correct size. Now I have to figure out how to get this resolved.
__label__2,The amazing squeem: I love love love the squeem!!! The before and after pictures are definitely real!!! You can immediately tell the difference when you put it on it definitely improves your posture you eat much less since it squeezes the he'll outta you but its not an uncomfortable squeeze.
__label__2,Great Product: A friend recommended this product to flatten the tummy for great look in a dress. I brought a medium according to the measurement guide lines but I needed a small. It was extremely difficult to put on so I needed assistance. Once it was on I was still able to contract my core which meant that I needed a smaller size. I believe it is because my waist sits high on my torso. Other then that this is great buy.
__label__2,I recommend ordering a size or 2 larger than your regular size.: I ordered the Squeem waist shaper in a size small...my general size is 4-6 I'm 5'4 and weigh 120lbs right now; over the winter I ate too much cheese and gained about 7 lbs which isn't much to complain about but I have a roll of belly fat that shows through a slinky dress (I just wanted to smooth out my middle and fat above my hips). I wish I'd ordered a medium (or even large) instead because as I was hooking the waist shaper from top to bottom as instructed it was way way way too tight by the time I tried to hook the lower 6" above my hips. I don't want to be uncomfortable I just want a smooth finish! So if you're similar in size I recommend ordering a medium instead. In general the quality of the product is exceptionally well stitched and built to last.
__label__1,WASTE OF MONEY: The inner metal rods keep poking through: The squeem is a great idea but the construction is not the best. While the product compresses your stomach the inner metal spines bend and then protrude at the ends. I have had to sew the ends repeatedly but the spines keep poking through. At one point the spine developed some sort of crack and when it poked through the bottom it scraped my stomach and I took it off immediately. I have never washed the product in the washing machine...I have always handwashed it. So the manufacturer can't say that I didn't take good care of it.
__label__1,CAUSES BRUISING AND BLISTERS IF WORN TOO LONG: I ordered this product to slim down my stomach. I was looking for something I could wear all day with my jeans as well as underneath my dresses. I wore the squeem to work occasionally and then I would take it off when I got home. When I would take it off I felt sore around my sides and my back I washed the squeem several times and even wore it on the other side thinking this would help but it didn't. One night after work me and some of my coworkers went out for drinks so I ended up keeping the squeem on for about 14hours instead of my normal 9 hours. That night when I took the squeem off I had blisters and bruising on my side and back which have now left black marks (I'm black)on my body. I read other review before I purchased the squeem and I didn't see anything that alerted me not to buy it. Not sure why this happened but if you read this and it happens to you don't say I didn't warn you!
__label__1,Not happy: I was really unhappy with this. I followed what others said and ordered based on my prepregnancy size. It was WAY too small at 7 weeks post-pardum. I'm ten weeks post-pardum and may try it again but it was a real self-esteem crusher initially. I'm a size 0 pre-pregnancy and so I thought it was fair to order the XS but I guess not.
__label__1,nice product: My wife loves it but we unfortunately perchaced the wrong size. She made a coment about the sizing chart being in dress sizes and she picked the size she is and we received it and the apparel was way too small. We have been meaning to exchange it but its tough to get time being as we have new born twins. That's why she wanted the apparel. She was really excited to receive the part and was disappointed when it didn't fit.
__label__2,Does the job: I have been looking for something to hold in my stomach that wasn't elastic based. Found this item and have to say I am pretty pleased. The hooks do take a while but once they are all done the waist cincher does what it says it will do. The only negative thing is what a lot of the other reviews complain about. It does tend to cause back fat to appear more prominent by your underarms. So I can't wear this with a top that is clingy. Can only wear with looser fitting shirts. Oh well nothing is perfect.
__label__1,Another disappointment from Higgins: This novella (stretched to 271 pages by wide margins and double-spaced lines) reads like a screenplay treatment. There is very little character development movie-like dialogue and plenty of mindless action. The ending is wholly unsatisfying and I'm led to believe that this is simply a set-up for another book. An author with some integrity would have placed Edge of Danger as part 1 of a 2-part novel.If you are dead-set on reading Edge of Danger don't waste your money. The cover price of .....is an insult and the deeply discounted .......... price will still leave you feeling ripped-off. Go to your local library in the morning and you'll finish Edge of Danger in time for an early lunch. Just don't expect to have any appetite left.
__label__1,1 and thats being generous....: I have read many of Jack Higgins' books and this is the poorest so far in my humble belief. As I travelled thro' the pages it just got harder and harder to believe the simplicity with which Mr Dillon strolls thro' the events at hand. The story also lacks any imagination and could probably have been summed up in a short story. Mr Dillon is just to sci-fi I'm afraid.There is a quote at the start of the book and as I got near the final chapters I was starting to imagine that the Author would be writing the finale of Mr Dillon....the quote read"To Tess who thinks it's about time"Author I think she may mean something else....
__label__2,Good matt nude lipstick: It's got a nice warm scent of vanilla-like smell. Texture is creamy. Meadow Sweet is a nice nude color. Can't apply too much or else it'll look a bit dry.
__label__2,I would sell it -- book complete with dust cover. Excellent: West is only fairly judged by the breadth of his work. He has a special view of human nature and all its weaknesses.
__label__2,A welcomed change from the frozen plains of Europe: A refreshing sunwarmed beautifull change from the frozen steeps and plains of Ice Age Europe. A delightful story of a woman who must face and overcome immense odds to survive. The plot line moves in different ways from other "Woman against the odds" novels so it is a fresh and not predictable. A very good read and a much better choice over Jean Auel's "Shelters of Stone".
__label__1,where does the Novel begin?: I found it preachy and long and got.very bored to claw my way through the very wordy prologue.Then tried to find the.actual novelFinally gave up!!!
__label__1,Avoid it.: The abridged version of this book would read as so:"Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong."There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language stupid storyline quixotic style... everything that would piss off a recreational reader. Avoid it.
__label__1,ok...: this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but...
__label__2,The Scarlet Letter: I really enjoyed this book. It shows the judgmental tendencies in our human race and how one woman strove to live a life of service to others to gain redemption for her mistake. Can't go wrong with the classics.
__label__2,Creepy: The creepiest book I've ever read! It's a creepy mystery/romance all in one creepy book! I would read it again lol
__label__1,A book for those with time on their hands: If this book is so great then why are there so many people who give it only one or two stars? Should a great book not be able to be enjoyed on some level by everyone? To the best of my knowledge only erudites and scholars enjoy this book. A good book but one with a limited audience. Don't read it unless you don't mind wading waste deep through overly long sentences antiquicated words and flowery prose. Personally I like an author who gets to the point.
__label__1,Painful: This book has to be one of the most tedious works of literature ever written. Hawthorne is a great writer but I don't know how this book made it into that sacred list we call "classics". Perhaps on the merit of his name alone?
__label__2,Great novel: The Scarlet Letter by Nathaniel Hawthorne is a great novel. It takes place in Boston Massachusetts during the era when Puritans were there. The main character Hester Prynne is forced to wear a Scarlet Letter A for adultery because she cheats on her husband while waiting for him to come from Europe.The book really recaptures what Puritanism was like. Its interesting to think about what America would be like if we were still Puritan. A theme of the book is concealed guilt. The minister Arthur Dimmesdale has concealed guilt which causes him severe pain. The message of the book is that you shouldn't let some minor sin you did in the past haunt you for the rest of your life.The book denounces the religious atmosphere of the Puritan village claiming that it stifled the merriment and joy of the culture of Old England. You get a picture of how the wonderful culture portrayed in the works of Chaucer was lost in America due to the influence of the Puritans.
__label__1,Horrible reader: i couldn't listen to this book because the women reading it has such a screechy horrible voice so i can give no review of the actual book but whatever you do try to find a version with a different reader if you're into audio books
__label__1,Mistake?: I ordered the Penguin edition for this book five weeks before my grad class started. It was very important to have the correct edition for proper pagination. I PAID for the Penguin edition. I GOT the $2 Dover Thrift edition three weeks later. When I called the distributor he told me to email him to remind him to fix it but he didn't ask me my name or my order number or anything to identify me from any other customer. I asked for an email address and he told me to look on my confirmation email. The email address from the confirmation email didn't work. I had to spend another $15 to get the correct edition of the book. I'd already paid more for the book that I got than it would have been worth brand new. I will NOT purchase from this distributor again.
__label__2,The "Scarlet" Letter: Much to my amazement this book has been placed on banned lists in several states. It's an excellent study of the devastation caused by guilt. Although the story does allude frequently to adultery there are no graphic details that would make it unsuitable for use in a high school classroom. Both the illnesses caused by guilt and the good health of those who overcome it are made clear.
__label__2,The Scarlet Letter a must read for any American: The best book that I have ever been assigned to read for school by far. The way in which Hawthorne captures the shame that Hetser  the wearer of the scarlet letter feels everyday and the utter torment that the weak Dimmesdale is in by not coming forth and saying he slept with Hester and the revenge ridden character of Chillingworth is spectactular.The way in which Hawthorne describes the setting and the actions that characters do is truly outstanding. Hawthorne has a huge flare for the dramatic which is great for the reader. Since Hester the main character concieved her daughter Pearl through an affair she has been snetenced to wear the scarlet A on her chest for the rest of her life. The story starts on the day Hester is to stand infront of the town and wear her badge of shame and all the drama in the small puritanical town of Boston starts from there. A must read for any American.
__label__2,This book is Great!: One might notice that many of the negative reviews of this book contain horrible grammer and multiple spelling errors. Although I respect those who disliked The Scarlet Letter I disagree. It's no wonder that people that don't know how to capitalize the word 'I'. I thought that this book was wonderful if you are willing to put effort into understanding it.
__label__1,I had to read it...: I had to read this book for school. I did not like it. I'm not sure what the point is of this story; several people hae told me what they think it is but I dont agree and they dont agree with each other.
__label__2,Possibly the funniest movie ever made.: It starts off a bit slow but once the product placement jokes start it takes off.
__label__1,same problems as munchkin version: Ditto to other complaints - won't separate easily- either by unscrewing or prizing. Cheap flimsy leaks water also because no gasket. I'm looking for something else and hoping reviewers will give honest good advice . . . this almost identical to product by Munchkin
__label__2,Sassy Baby Warming Dish. Interesting concept.: We tried the Baby warming dish. We found that for our 1 year old it was pretty small and didn't really hold enough water to keep her warm.I think it would work ok for an infant although I think a blanket would work just as well.Recommendation:Buy********************HoldSell
__label__1,Unreadable!: As good as this book may be the print quality is so bad that I cannot read it. Zero stars would have been more appropriate.
__label__1,Used for circuits project: I used the generator for a circuits project and it works pretty well with little resistance however the wire connections seemed cheap and very loose. I would recommend buying a battery powered one with rechargeable batteries if you're worried about the environment.
__label__1,Two Tedious Hours: The early success of Adam Sandler's films gave him this mistaken impression that he was an actor and a writer. This film proves he is neither - and a grating voice-over guy to boot. I enjoyed Happy Gilmore and to a much lesser degree Little Nicky and Big Daddy. But Sandler is a one-trick pony. We've all seen the trick so it's just not interesting anymore. I thought this might be the one Hanukah film in a world of X-mas fare. It has nothing to do with the holiday and is definitely not for kids.
__label__1,one of the worst movies of 2002: god!!! what a dumb movie. the fact that Adam Sandler can do this is just wrong....never lives up to what if true and it down right smells like cheese....sick and demented jokes dont help its premise...though Whitey gets a few lifes...nicely animated but a poor outcome. think of this as a guide beofer watching it...Jon Lovitz Rob Schneider and others contribute voices.
__label__2,Fantastic: A movie that makes you feel a lot better about the holidays. Although not a childish movie Eight Crazy Nights is a fantastic Sandler movie.
__label__1,very disappointing: The movie is vulgar and not meant for children. It is a typical Adam Sandler movie with foul language and raunchy humor. Not enjoyable at all.
__label__1,Sandler Strikes Out: 8 Crazy Nights might have been a sweet film with a good message for kids but the scatological humor offensive language and explicit sexual references made it unsuitable for my 10-year old. The plot on the other hand while fine for 10-year olds was too obvious and simplistic for most of the adults in the audience. As a result while it's probably not the worst film of the year it is certainly in the running.
